track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
Party In The U.S.A.,Miley Cyrus,2009,spotify:track:3E7dfMvvCLUddWissuqMwr,0,10,-5,4,96.021
Love Story,Taylor Swift,2008,spotify:track:1vrd6UOGamcKNGnSHJQlSt,1,2,2,4,118.984
Umbrella,Rihanna,2008,spotify:track:49FYlytm3dAAraYgpoJZux,1,1,-5,4,174.028
Replay,Iyaz,2009,spotify:track:4E5P1XyAFtrjpiIxkydly4,1,9,3,4,91.031
Since U Been Gone,Kelly Clarkson,2005,spotify:track:3iJTbZDSnZ676y5qObWDm0,1,0,0,4,131.006
TiK ToK,Kesha,2014,spotify:track:6zQlRd6tvEVJm59P8PMj7o,0,2,-1,4,120.046
I Knew You Were Trouble,Taylor Swift,2012,spotify:track:6RjKVXi31fui9m4dbiGRrL,1,6,6,4,76.76
Take A Bow,Rihanna,2008,spotify:track:3goSVuTt3fDYDP6kRnFwuL,1,9,3,4,82.081
Halo,Beyoncé,2008,spotify:track:4JehYebiI9JE8sR8MisGVb,0,11,2,4,79.983
Every time we touch,Cascada,2006,spotify:track:2gOlrge3YTmYPwsCGgU62K,1,8,-4,4,142.027
No Air (feat. Chris Brown),Jordin Sparks,2007,spotify:track:1jUA4rb6ZCv4gby4YU53xq,0,8,5,4,160.033
Dynamite,Taio Cruz,2010,spotify:track:2CEgGE6aESpnmtfiZwYlbV,1,4,4,4,119.975
Unwritten,Natasha Bedingfield,2004,spotify:track:1D1nixOVWOxvNfWi0UD7VX,1,5,-1,4,100.013
Bleeding Love,Leona Lewis,2007,spotify:track:6LtPIXlIzPOTF8vTecYjRe,1,5,-1,4,104.054
Last Friday Night (T.G.I.F.),Katy Perry,2012,spotify:track:455AfCsOhhLPRc68sE01D8,0,3,6,4,126.03
So Sick,Ne-Yo,2006,spotify:track:4SRqDmPxYX0pUb5B5ut2Ri,1,6,6,4,92.791
Hips Don't Lie (feat. Wyclef Jean),Shakira,2005,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,0,10,-5,4,100.024
Oops!...I Did It Again,Britney Spears,2000,spotify:track:6naxalmIoLFWR0siv8dnQQ,0,1,4,4,95.053
"Hey, Soul Sister",Train,2009,spotify:track:0KpfYajJVVGgQ32Dby7e9i,0,1,4,4,97.03
The Tide Is High - Radio Mix,Atomic Kitten,2003,spotify:track:5WuVWOngcRkMOx9RRLCvui,1,7,1,4,102.996
Hot N Cold,Katy Perry,2008,spotify:track:0iGckQFyv6svOfAbAY9aWJ,1,7,1,4,132.032
We Are Never Ever Getting Back Together,Taylor Swift,2012,spotify:track:1F6oGPF75u9RuHH4BGx9Bf,1,7,1,4,86.059
It Wasn't Me,Shaggy,2008,spotify:track:0OaunKfsxkgBvPv68jBbmm,1,0,0,4,94.762
Where Is The Love?,The Black Eyed Peas,2003,spotify:track:0uqPG793dkDDN7sCUJJIVC,1,5,-1,4,94.059
Complicated,Avril Lavigne,2002,spotify:track:34xZFT7artr3SGqgSoR88L,1,5,-1,4,77.982
Big Girls Don't Cry (Personal),Fergie,2006,spotify:track:6dgWWAs5yhWPOtvE1zuoQ1,1,7,1,4,113.082
Irreplaceable,Beyoncé,2007,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,0,7,-2,4,175.868
No One,Alicia Keys,2007,spotify:track:0JEqGkvUiMTQmFY6sgL9kg,0,1,4,4,89.969
A Thousand Miles - Single Version,Vanessa Carlton,2002,spotify:track:6t6rudGjkLftasgUiSGcPN,1,11,5,4,94.991
About You Now,Sugababes,2007,spotify:track:1ctdfJSzp6qF2iDAVdDrfl,0,1,4,4,82.499
I Kissed A Girl,Katy Perry,2008,spotify:track:14iN3o8ptQ8cFVZTEmyQRV,1,5,-1,4,129.996
If I Were a Boy,Beyoncé,2008,spotify:track:1oQZk2bKBLgP1cbuFKvjkq,1,6,6,4,89.946
Crush,David Archuleta,2008,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,0,0,-3,4,162.084
Don't Stop The Music,Rihanna,2008,spotify:track:0ByMNEPAPpOR5H69DVrTNy,0,6,3,4,122.668
Release Me,Agnes,2009,spotify:track:4LiJE6pqgsTX3FtukW6bNh,0,2,-1,4,127.973
Breakeven,The Script,2008,spotify:track:4bCIt1XfHHGWo1UHKM11y9,1,10,-2,4,94.023
She Will Be Loved,Maroon 5,2002,spotify:track:5s5t0OFg9lIlBFaCI14K1i,0,0,-3,4,203.867
Just the Way You Are,Bruno Mars,2010,spotify:track:47Slg6LuqLaX0VodpSCvPt,1,5,-1,4,109.012
Toxic,Britney Spears,2018,spotify:track:4fbaKWFRghusXd4bSBvvfN,0,5,-4,4,143.04
Bubbly,Colbie Caillat,2007,spotify:track:1cPLbefy6cUEFcrbVY2aFv,1,9,3,4,127.907
Haven't Met You Yet,Michael Bublé,2009,spotify:track:4fIWvT19w9PR0VVBuPYpWA,1,8,-4,4,122.58
Bye Bye Bye,*NSYNC,2005,spotify:track:2yiZyjMEByt9sJBZWnWaDR,0,8,5,4,172.716
This Love,Maroon 5,2002,spotify:track:5zF2zGPkL6Ipsn9AfAK6RP,0,5,-4,4,95.05
Beautiful Girls,Sean Kingston,2014,spotify:track:1peT7rhuRsVvJVSSd0iXXp,1,4,4,4,117.923
Break Your Heart,Taio Cruz,2009,spotify:track:3oN2Kq1h07LSSBSLYQp0Ns,1,3,-3,4,122.018
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006,spotify:track:2TF4UtYreqNbQ6Z9AccldU,1,10,-2,4,99.953
In My Head,Jason Derulo,2010,spotify:track:6St9lR6dhV2tpCNVz7qfrS,0,0,-3,4,110.009
Fireflies,Owl City,2009,spotify:track:1mr3616BzLdhXfJmLmRsO8,1,3,-3,4,180.118
Just Dance,Lady Gaga,2008,spotify:track:5vQXxfGn1bjv5WESrYVVpw,0,1,4,4,118.984
Low (feat. T-Pain),Flo Rida,2008,spotify:track:0CAfXk7DXMnon4gLudAp7J,0,10,-5,4,128.008
Because of You,Kelly Clarkson,2012,spotify:track:1258tSoXDDa43uqT75r5N0,0,5,-4,4,139.82
Sk8er Boi,Avril Lavigne,2002,spotify:track:4omisSlTk6Dsq2iQD7MA07,1,0,0,4,149.937
Cooler Than Me - Single Mix,Mike Posner,2010,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,0,7,-2,4,129.969
Grenade,Bruno Mars,2010,spotify:track:4lLtanYk6tkMvooU0tWzG8,0,2,-1,4,110.443
Let Me Love You,Mario,2004,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,0,7,-2,4,94.514
I'm Yours,Jason Mraz,2008,spotify:track:03yc0G2OoH1Eeyu7Piy8fK,1,11,5,4,151.079
Bad Day,Daniel Powter,2005,spotify:track:0mUyMawtxj1CJ76kn9gIZK,1,3,-3,4,140.046
Love Song,Sara Bareilles,2007,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,0,2,-1,4,123.052
Marry You,Bruno Mars,2010,spotify:track:6SKwQghsR8AISlxhcwyA9R,1,10,-2,4,144.926
Raise Your Glass,P!nk,2010,spotify:track:05qq6mwIbG1ZsQhlMKyDwN,1,7,1,4,122.031
Hey There Delilah,Plain White T's,2006,spotify:track:3DWOTqMQGp5q75fnVsWwaN,1,2,2,4,103.879
Because Of You,Ne-Yo,2007,spotify:track:6CFPFnS9EcLs2I0nWqtWci,0,0,-3,4,109.97
Womanizer,Britney Spears,2009,spotify:track:4fixebDZAVToLbUCuEloa2,1,11,5,4,139.0
I Gotta Feeling,The Black Eyed Peas,2009,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,1,0,0,4,127.96
Whole Again,Atomic Kitten,2001,spotify:track:16MJqq0vEuW6GRX6faetTm,1,4,4,4,94.019
Impossible - Main,Shontelle,2010,spotify:track:5lD0amV3bUehz3Xt80tCQK,1,8,-4,4,90.034
Hate That I Love You,Rihanna,2008,spotify:track:7iu0WYLdo4yksKf3seaxzI,0,5,-4,4,93.867
I'm Like A Bird,Nelly Furtado,2000,spotify:track:2tP7ZekzXfduShx8C6cbll,1,10,-2,4,89.661
Fergalicious,Fergie,2006,spotify:track:6Q44rxzH39y2tjic98Spo5,0,8,5,4,129.055
"Whenever, Wherever",Shakira,2001,spotify:track:2lnzGkdtDj5mtlcOW2yRtG,0,1,4,4,107.661
Survivor,Destiny's Child,2001,spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi,0,1,4,4,161.109
Pon de Replay,Rihanna,2005,spotify:track:4TsmezEQVSZNNPv5RJ65Ov,1,7,1,4,99.019
Poker Face,Lady Gaga,2009,spotify:track:0le79px2kIBXQDxUe8ZUGP,1,4,4,4,119.002
So What,P!nk,2010,spotify:track:7bprRkhvOXWmWpqOrEWbXu,1,11,5,4,126.02
Empire State of Mind (Part II) Broken Down,Alicia Keys,2009,spotify:track:5sra5UY6sD658OabHL3QtI,1,6,6,4,92.959
Mr. Brightside,The Killers,2004,spotify:track:0eGsygTp906u18L0Oimnem,1,1,-5,4,148.03
Hall of Fame,The Script,2012,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,1,10,-2,4,84.803
Bad Romance,Lady Gaga,2009,spotify:track:6MjiVEJy1YVuJNFu72OH61,1,0,0,4,119.002
Don't Cha,The Pussycat Dolls,2005,spotify:track:24kGngQeXHt0uhffKpq0zj,1,1,-5,4,120.002
Anyone Of Us (Stupid Mistake),Gareth Gates,2002,spotify:track:5MF62bkZ7Uy3UxteONmUBV,1,1,-5,4,106.988
Single Ladies (Put a Ring on It),Beyoncé,2008,spotify:track:5R9a4t5t5O0IsznsrKPVro,1,1,-5,4,193.437
American Boy,Estelle,2008,spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,1,0,0,4,117.932
Broken Strings,James Morrison,2008,spotify:track:6jBUP2KCe821yqf1hiBqPR,1,1,-5,4,111.91
Dilemma,Nelly,2002,spotify:track:0ARK753YaiJbpLUk7z5yIM,0,2,-1,4,168.189
If I Ain't Got You,Alicia Keys,2003,spotify:track:3XVBdLihbNbxUwZosxcGuJ,1,7,1,3,118.393
Push The Button,Sugababes,2005,spotify:track:3EDS89HeAhHiZKlljciK0a,1,8,-4,4,126.016
"One, Two Step (feat. Missy Elliott)",Ciara,2004,spotify:track:7uKcScNXuO3MWw6LowBjW1,0,5,-4,4,113.046
Viva La Vida,Coldplay,2008,spotify:track:1mea3bSkSGXuIRvnydlB5b,0,5,-4,4,138.017
Thank God I Found You,Mariah Carey,1999,spotify:track:1RS3LStQYhju50eBdD9Uul,1,10,-2,4,129.777
Gives You Hell,The All-American Rejects,2008,spotify:track:5gb9UJkh8TfrNMRYOJNbew,1,4,4,4,100.008
Hero,Enrique Iglesias,2001,spotify:track:3Y8WRvVlQHMvtBwaV4TGlJ,1,7,1,4,151.933
If You're Not The One,Daniel Bedingfield,2002,spotify:track:6B6aCxSBsECsulzOkJRxGv,1,10,-2,4,119.998
Yeah!,Usher,2004,spotify:track:2PkeVPcL32LA96cK5ySC3c,1,2,2,4,105.004
Put Your Records On,Corinne Bailey Rae,2006,spotify:track:2nGFzvICaeEWjIrBrL2RAx,1,9,3,4,96.038
Lady Marmalade,Christina Aguilera,2008,spotify:track:2gocMpiwnMRLDejlcSJt7J,1,5,-1,4,109.905
Telephone,Lady Gaga,2009,spotify:track:6DvgsZ0NiEPV9qYM931T1F,0,5,-4,4,122.021
Hollaback Girl,Gwen Stefani,2004,spotify:track:0eqH0ALoDQevq59YcQ53KE,0,10,-5,4,110.007
"Too Little, Too Late",JoJo,2006,spotify:track:610NMdGkbuDhaJOkOx9RaO,0,6,3,4,83.002
Chasing Cars,Snow Patrol,2006,spotify:track:0rpIH5otu7ykvZPdcQuRPh,1,9,3,4,104.001
Apologize,Timbaland,2007,spotify:track:24nRdDUUIdM2mv1YdwMdu6,1,8,-4,4,118.022
